variant,coef,ci_lo,ci_hi,p_value,toward_rate,n_obs,n_fixtures,excludes_zero,sample_status,toward_rate_vs_v9_pp,beats_v9,calc_version,window_min,future_min,tolerance_min,median_gap_min
PLACEBO_long_momentum,-1.344455467552427,-1.840326799382528,-0.7127529332746457,0.0,0.4817,44800,1016,True,VALIDATABLE,20.3,True,1.0.0,720,720,300,171.0
PLACEBO_mean_reversion,0.34643001522166605,0.18092631296058698,0.49303782049448114,0.0,0.4691,44800,1016,True,VALIDATABLE,19.04,True,1.0.0,720,720,300,171.0
PLACEBO_momentum_continuation,-0.34643001522166605,-0.4930378204944811,-0.18092631296058695,0.0,0.4322,44800,1016,True,VALIDATABLE,15.35,True,1.0.0,720,720,300,171.0
CONTROL_dispersion,-13.511223935634039,-36.61853748242778,4.369574179497953,0.24,0.3679,44800,1016,False,VALIDATABLE,8.92,True,1.0.0,720,720,300,171.0
PLACEBO_fixed_anchor,0.0072907549760178525,0.003436759338927378,0.011714761032178115,0.0,0.2835,44800,1016,True,VALIDATABLE,0.48,True,1.0.0,720,720,300,171.0
v9_residual,0.015578363524076178,0.009027562610271628,0.023916506088162755,0.0,0.2787,44800,1016,True,VALIDATABLE,0.0,False,1.0.0,720,720,300,171.0
PLACEBO_shuffled_residual,0.0053650308890662015,0.002351987959310493,0.00853508881159734,0.0,0.274,44800,1016,True,VALIDATABLE,-0.47,False,1.0.0,720,720,300,171.0
PLACEBO_random_direction,0.004668854725642702,-0.005242801772834794,0.01432110088583321,0.38,0.2641,44800,1016,False,VALIDATABLE,-1.46,False,1.0.0,720,720,300,171.0
CONTROL_market_only,0.007290754976017848,0.003436759338927377,0.01171476103217811,0.0,0.2505,44800,1016,True,VALIDATABLE,-2.82,False,1.0.0,720,720,300,171.0
