scope,system,picks,W,L,pnl,hit,generated_at,calculation_version
overall,v9,311,121,190,-19.38,38.9,2026-09-15T13:40:53Z,1.0.0
overall,v11,0,0,0,0.0,,2026-09-15T13:40:53Z,1.0.0
2026-08,v9,156,59,97,-13.6,37.8,2026-09-15T13:40:53Z,1.0.0
2026-08,v11,0,0,0,0.0,,2026-09-15T13:40:53Z,1.0.0
2026-09,v9,155,62,93,-5.78,40.0,2026-09-15T13:40:53Z,1.0.0
2026-09,v11,0,0,0,0.0,,2026-09-15T13:40:53Z,1.0.0
