segment,unit,n_obs,n_fixtures,n_moved,toward_rate,toward_ci_lo,toward_ci_hi,z_vs_chance,p_value,mean_signed_move_pp,median_signed_move_pp,signed_ci_lo,signed_ci_hi,mean_abs_move_pp,mean_window_min,signed_move_per_hour_pp,mean_move_when_correct_pp,mean_move_when_wrong_pp,p_move_ge_05pp,p_move_ge_1pp,p_move_ge_2pp,n_clv,mean_clv_pct,median_clv_pct,pct_positive_clv,mean_entry_odds,mean_close_odds,sample_status
T->24h,snapshot,45799,935,40054,0.5412,0.5022,0.5789,2.102,0.03553,0.5068,0.4,0.2945,0.7169,2.1205,5368.6,0.0057,2.4266,-1.7604,0.8705,0.6836,0.3974,40025,0.0374,0.0,0.3978,2.132,2.1416,VALIDATABLE
T-12-24h,snapshot,3919,750,2969,0.577,0.5224,0.6283,2.847,0.00441,0.5738,0.48,0.2842,0.8571,1.8744,1027.6,0.0335,2.1211,-1.5377,0.842,0.642,0.3584,2968,0.4433,0.0,0.372,2.0909,2.0868,VALIDATABLE
T-6-12h,snapshot,1216,340,871,0.4822,0.3996,0.5657,-0.42,0.67466,0.0806,-0.29,-0.1936,0.3605,1.4208,493.6,0.0098,1.5568,-1.2942,0.7945,0.5614,0.2296,871,-0.116,0.0,0.3065,2.1771,2.1843,RESEARCH
T-3-6h,snapshot,972,376,610,0.4787,0.4006,0.5545,-0.543,0.58723,0.0126,-0.23,-0.2175,0.2376,1.135,241.1,0.0031,1.1987,-1.0766,0.7377,0.4574,0.1508,610,-0.3688,0.0,0.2295,2.0894,2.0996,RESEARCH
T-1-3h,snapshot,623,202,391,0.4885,0.4035,0.5783,-0.258,0.79633,0.1116,-0.22,-0.1182,0.3558,1.0522,109.0,0.0614,1.1913,-0.9194,0.6957,0.4194,0.1176,391,-0.151,0.0,0.2839,2.1077,2.1123,RESEARCH
T-30-60m,snapshot,144,142,78,0.6026,0.4868,0.7105,1.797,0.07227,0.4549,0.305,0.1529,0.7707,1.0126,34.6,0.7881,1.2177,-0.7016,0.5641,0.3333,0.1538,78,0.6316,0.0,0.3718,2.0732,2.0597,EARLY_SIGNAL
T-10-30m,snapshot,3,3,0,,,,,,,,,,,,,,,,,,0,,,,,,INSUFFICIENT_SAMPLE
