fold,train_rows,test_rows,test_from,test_to,residual_coef,ci_lo,ci_hi,p_value,excludes_zero,n_fixtures,calc_version,window_min,future_min,tolerance_min,median_gap_min
1,6056,6055,2026-08-20 21:48:43+00:00,2026-08-23 14:09:33+00:00,0.011293212101924424,-0.0012527156589475256,0.024708435268434904,0.07,False,215,1.0.0,720,720,300,171.0
2,12111,6056,2026-08-23 14:09:33+00:00,2026-08-25 17:00:56+00:00,0.010948548350125065,0.004196192217315549,0.01794110966617199,0.0,True,186,1.0.0,720,720,300,171.0
3,18167,6055,2026-08-25 17:00:56+00:00,2026-09-04 22:24:49+00:00,0.01439372694968113,0.0027249602303940404,0.02206902936227921,0.0,True,413,1.0.0,720,720,300,171.0
4,24222,6056,2026-09-04 22:24:49+00:00,2026-09-25 01:37:10+00:00,0.010859545208947493,0.005417226427640695,0.017122241245629704,0.0,True,563,1.0.0,720,720,300,171.0
