wowza_role,n_obs,n_fixtures,mean_toward_pp,median_toward_pp,pct_moved_toward,sample_status,prior_window_min,future_window_min
UNKNOWN_NO_PRIOR,2446,120,5.351402289452168,5.309999999999998,0.6802943581357318,EARLY_SIGNAL,60,60
WOWZA_AGREES_WITH_EXISTING_MOVE,9681,458,-7.7025090383224875,-6.509999999999999,0.004854870364631753,RESEARCH,60,60
WOWZA_LEADS,424,229,0.011202830188679087,0.0,0.44339622641509435,RESEARCH,60,60
WOWZA_OPPOSES_MARKET,23556,494,12.530359568687384,11.270000000000003,0.9962217694005774,RESEARCH,60,60
